,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
129,"frozenset({'The Blacklist', 'Family Guy'})","frozenset({'Atypical', 'Ozark'})",0.3333333333333333,0.4523809523809524,0.2619047619047619,0.7857142857142858,1.7368421052631582,0.11111111111111113,2.555555555555557,0.6363636363636365
128,"frozenset({'The Blacklist', 'Atypical'})","frozenset({'Family Guy', 'Ozark'})",0.42857142857142855,0.38095238095238093,0.2619047619047619,0.6111111111111112,1.604166666666667,0.09863945578231295,1.5918367346938778,0.6590909090909093
127,"frozenset({'Atypical', 'Family Guy', 'Ozark'})",frozenset({'The Blacklist'}),0.30952380952380953,0.6428571428571429,0.2619047619047619,0.8461538461538461,1.3162393162393162,0.0629251700680272,2.321428571428571,0.34796238244514094
124,"frozenset({'The Blacklist', 'Atypical', 'Family Guy'})",frozenset({'Ozark'}),0.30952380952380953,0.7380952380952381,0.2619047619047619,0.8461538461538461,1.1464019851116625,0.03344671201814059,1.702380952380952,0.18495297805642633
125,"frozenset({'The Blacklist', 'Atypical', 'Ozark'})",frozenset({'Family Guy'}),0.3333333333333333,0.4523809523809524,0.2619047619047619,0.7857142857142858,1.7368421052631582,0.11111111111111113,2.555555555555557,0.6363636363636365
123,frozenset({'Stranger Things'}),frozenset({'The Blacklist'}),0.38095238095238093,0.6428571428571429,0.2619047619047619,0.6875000000000001,1.0694444444444446,0.017006802721088454,1.142857142857143,0.10489510489510499
122,frozenset({'The Blacklist'}),frozenset({'Stranger Things'}),0.6428571428571429,0.38095238095238093,0.2619047619047619,0.4074074074074074,1.0694444444444444,0.017006802721088454,1.0446428571428572,0.18181818181818205
133,"frozenset({'Family Guy', 'Ozark'})","frozenset({'The Blacklist', 'Atypical'})",0.38095238095238093,0.42857142857142855,0.2619047619047619,0.6875000000000001,1.604166666666667,0.09863945578231295,1.8285714285714292,0.6083916083916084
121,frozenset({'The Walking Dead'}),"frozenset({'The Blacklist', 'Ozark'})",0.47619047619047616,0.5,0.2619047619047619,0.55,1.1,0.023809523809523836,1.1111111111111112,0.17355371900826466
132,"frozenset({'Atypical', 'Ozark'})","frozenset({'The Blacklist', 'Family Guy'})",0.4523809523809524,0.3333333333333333,0.2619047619047619,0.5789473684210527,1.736842105263158,0.11111111111111113,1.5833333333333337,0.7747035573122529
141,frozenset({'Berlin Station'}),frozenset({'Family Guy'}),0.4523809523809524,0.4523809523809524,0.2619047619047619,0.5789473684210527,1.2797783933518005,0.0572562358276644,1.3005952380952384,0.3992094861660078
134,frozenset({'The Blacklist'}),"frozenset({'Atypical', 'Family Guy', 'Ozark'})",0.6428571428571429,0.30952380952380953,0.2619047619047619,0.4074074074074074,1.3162393162393162,0.0629251700680272,1.1651785714285714,0.6727272727272726
135,frozenset({'Atypical'}),"frozenset({'The Blacklist', 'Family Guy', 'Ozark'})",0.5714285714285714,0.2857142857142857,0.2619047619047619,0.45833333333333337,1.604166666666667,0.09863945578231295,1.3186813186813189,0.8787878787878789
136,frozenset({'Family Guy'}),"frozenset({'The Blacklist', 'Atypical', 'Ozark'})",0.4523809523809524,0.3333333333333333,0.2619047619047619,0.5789473684210527,1.736842105263158,0.11111111111111113,1.5833333333333337,0.7747035573122529
137,frozenset({'Ozark'}),"frozenset({'The Blacklist', 'Atypical', 'Family Guy'})",0.7380952380952381,0.30952380952380953,0.2619047619047619,0.3548387096774194,1.1464019851116625,0.03344671201814059,1.0702380952380952,0.48760330578512406
138,frozenset({'Mr. Robot'}),frozenset({'Berlin Station'}),0.5,0.4523809523809524,0.2619047619047619,0.5238095238095238,1.1578947368421053,0.035714285714285726,1.1500000000000001,0.2727272727272728
139,frozenset({'Berlin Station'}),frozenset({'Mr. Robot'}),0.4523809523809524,0.5,0.2619047619047619,0.5789473684210527,1.1578947368421053,0.035714285714285726,1.1875,0.24901185770750991
140,frozenset({'Family Guy'}),frozenset({'Berlin Station'}),0.4523809523809524,0.4523809523809524,0.2619047619047619,0.5789473684210527,1.2797783933518005,0.0572562358276644,1.3005952380952384,0.3992094861660078
142,frozenset({'Demon Slayer'}),frozenset({'Atypical'}),0.47619047619047616,0.5714285714285714,0.2619047619047619,0.55,0.9625000000000001,-0.010204081632653017,0.9523809523809526,-0.06923076923076894
143,frozenset({'Atypical'}),frozenset({'Demon Slayer'}),0.5714285714285714,0.47619047619047616,0.2619047619047619,0.45833333333333337,0.9625000000000001,-0.010204081632653017,0.9670329670329672,-0.083333333333333
144,frozenset({'Daredevil'}),frozenset({'Berlin Station'}),0.38095238095238093,0.4523809523809524,0.2619047619047619,0.6875000000000001,1.5197368421052635,0.08956916099773246,1.7523809523809533,0.5524475524475526
145,frozenset({'Berlin Station'}),frozenset({'Daredevil'}),0.4523809523809524,0.38095238095238093,0.2619047619047619,0.5789473684210527,1.5197368421052633,0.08956916099773246,1.4702380952380953,0.624505928853755
